NOME_LOCAL;CIDADE;BAIRRO;CONTA_CONTRATO;POSTE;TRAFO;ALIMENTADOR;LATITUDE;LONGITUDE;UTD;UTEP
ADEFERN - ASSOC. DOS DEFICIENTES FISICOS DO RN;NATAL;POTENGI;156732010;B3744;3002147;PGI-01P1;-5.74939365;-35.24628965;NATAL NORTE;LITORAL
C.D.F. COLÉGIO E CURSO - ZONA NORTE;NATAL;POTENGI;851961984;V00068;3036045;IGA-01Z8;-5.7621922;-35.2535566;NATAL NORTE;LITORAL
CENEP - CENTRO ESTADUAL DE EDUCAÇÃO PROFIS SENADOR JESSÉ PINTO FREIRE;NATAL;PETROPOLIS;1866010;V09019;3106341;RBA-01P5;-5.78479812;-35.20095178;NATAL SUL;LITORAL
CENTRO EDUCACIONAL ALFERES TIRADENTES;NATAL;POTENGI;158258013;D4427;213196X;PGI-01P2;-5.7441841;-35.2466551;NATAL NORTE;LITORAL
CMEI GALDINA BARBOSA SILVEIRA GUIMARAES;NATAL;MAE LUIZA;7015487482;C4503;2121967;PTR-01S5;-5.79853386;-35.18550428;NATAL SUL;LITORAL
CMEI PROFª MARIA CLEONICE ALVES PONTES;NATAL;POTENGI;140138010;B3308;300080X;IGA-01Z7;-5.7592104;-35.2586702;NATAL NORTE;LITORAL
COLEGIO SALESIANO SAO JOSE;NATAL;RIBEIRA;81579016;D5613;3118999;RBA-01P4;-5.78056296;-35.20519714;NATAL SUL;LITORAL
COMPLEXO CULTURAL DA UERN;NATAL;POTENGI;169514011;D3358;3030970;PGI-01P4;-5.75490206;-35.23990421;NATAL NORTE;LITORAL
ESCOLA ESTADUAL ALBERTO TORRES;NATAL;PETROPOLIS;49266014;C4814;2675702;RBA-01P3;-5.78454052;-35.19588546;NATAL SUL;LITORAL
ESCOLA ESTADUAL ANTONIO FAGUNDES;NATAL;POTENGI;145951011;B0126;3040109;PJA-01J4;-5.74616592;-35.26035198;NATAL NORTE;LITORAL
ESCOLA ESTADUAL AUGUSTO SEVERO;NATAL;PETROPOLIS;7014923068;V08261;3098001;RBA-01P5;-5.78585406;-35.20116309;NATAL SUL;LITORAL
ESCOLA ESTADUAL CAFE FILHO;NATAL;ROCAS;83442018;A6733;3112711;RBA-01P6;-5.77209206;-35.19770536;NATAL SUL;LITORAL
ESCOLA ESTADUAL DIOSCORO VALE;NATAL;POTENGI;149379010;B3991;3068547;PGI-01P1;-5.74523225;-35.25237122;NATAL NORTE;LITORAL
ESCOLA ESTADUAL DO ATHENEU NORTERIOGRANDENSE;NATAL;PETROPOLIS;1987011;V06215;3080634;PTR-01S4;-5.78408233;-35.1983522;NATAL SUL;LITORAL
ESCOLA ESTADUAL DOM JOSE ADELINO DANTAS;NATAL;POTENGI;169515018;SPP0030;3120268;PGI-01P2;-5.74706691;-35.24470253;NATAL NORTE;LITORAL
ESCOLA ESTADUAL ISABEL GONDIM;NATAL;RIBEIRA;82021019;A6408;267461X;RBA-01P6;-5.77389638;-35.20260434;NATAL SUL;LITORAL
ESCOLA ESTADUAL JOSEFA SAMPAIO;NATAL;SANTOS REIS;85205013;A6621;2674468;RBA-01P6;-5.76702425;-35.2004735;NATAL SUL;LITORAL
ESCOLA ESTADUAL LEONOR LIMA;NATAL;REDINHA;136738011;C1396;3038503;PGI-01P3;-5.75227792;-35.20299971;NATAL NORTE;LITORAL
